NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
205,615 CONSTRUCTION,G2,SABAH,KENINGAU,016-8012352,-,Yes,NO SPKK,NO STP,11/05/2024
206,65 EMPIRE,G1,SELANGOR,,01-73602001,NO FAX,Yes,Yes,Yes,10/08/2024
207,65 PLATE RESOURCES,G1,PAHANG,RAUB,01-96660192,NO FAX,Yes,Yes,Yes,14/06/2026
208,6789 TOP EXCELLENT,G2,SABAH,Kota Kinabalu,019-8101677,NO FAX,Yes,NO SPKK,NO STP,03/04/2026
209,6819 ENTERPRISE,G1,SABAH,Nabawan,088702124,088702124,Yes,NO SPKK,NO STP,20/06/2024
210,6883 CONSTRUCTION SDN. BHD.,G3,JOHOR,,01-22107469,NO FAX,Yes,NO SPKK,NO STP,27/05/2025
211,69 PROMAX VENTURES,G1,TERENGGANU,KEMAMAN,01-49439950,NO FAX,Yes,NO SPKK,NO STP,09/05/2025
212,698 BERSAMA ENTERPRISE,G2,TERENGGANU,BESUT,01-29486800,NO FAX,Yes,Yes,Yes,27/06/2025
213,6IXTYPIPS TRADER,G1,SABAH,Kota Belud,088-973353,NO FAX,Yes,Yes,NO STP,30/08/2026
214,7 BERADIK RESOURCES,G1,SELANGOR,SABAK BERNAM,01-89044160,NO FAX,Yes,Yes,Yes,27/03/2025
215,7 DAYS 7 NIGHTS ENTERPRISE,G1,PAHANG,ROMPIN,01-29530377,NO FAX,Yes,Yes,Yes,05/04/2026
216,7 DIGITS ENTERPRISE,G1,PAHANG,MARAN,01-45787878,NO FAX,Yes,Yes,Yes,29/05/2024
217,7 J FIXER UPPER ENTERPRISE,G1,PAHANG,RAUB,01-45095377,NO FAX,Yes,Yes,Yes,11/10/2025
218,7 PILLARS CONSTRUCTION & SERVICES,G3,KELANTAN,TUMPAT,0137157111,0,Yes,Yes,Yes,11/10/2026
219,7 POINT 8 SDN. BHD.,G4,PULAU PINANG,SEBERANG PERAI TENGAH,0,NO FAX,Yes,NO SPKK,NO STP,13/09/2025
220,7188 ENTERPRISE,G1,SABAH,Kota Kinabalu,011-1078718,NO FAX,Yes,NO SPKK,NO STP,07/02/2025
221,722 CONSTRUCTION PLT,G2,SARAWAK,MIRI,11-25066896,NO FAX,Yes,NO SPKK,NO STP,19/06/2025
222,731 PINTU VENTURE,G1,KEDAH,KUALA MUDA,01-34299779,NO FAX,Yes,Yes,Yes,18/01/2025
223,75 RESOURCES,G3,SABAH,KENINGAU,017-4456228,NO FAX,Yes,Yes,NO STP,11/04/2025
224,76 TRADING & SERVICES,G1,JOHOR,JOHOR BAHRU,0125368180,NO FAX,Yes,NO SPKK,NO STP,08/11/2025
225,77 AZ ENTERPRISE,G2,JOHOR,JOHOR BAHRU,01-42769263,NO FAX,Yes,Yes,Yes,12/12/2023
226,78 ENNTADI ENTERPRISE,G1,PAHANG,JERANTUT,01-99692784,NO FAX,Yes,Yes,Yes,12/04/2024
227,78 SYUKUR ENTERPRISE,G1,JOHOR,BATU PAHAT,01-27740018,NO FAX,Yes,Yes,Yes,18/02/2025
228,799 CONTRACTOR,G2,SARAWAK,MIRI,016-8743233,NO FAX,Yes,NO SPKK,NO STP,10/04/2024
229,7DSM PROJECTS SDN. BHD.,G7,PULAU PINANG,SEBERANG PERAI TENGAH,0164455789,-,Yes,Yes,NO STP,11/10/2025
230,7H ENTERPRISE,G2,SARAWAK,BINTULU,010-9681718,0,Yes,Yes,NO STP,15/04/2025
231,7PAIR TECHNOLOGIES SERVICES,G1,SELANGOR,PETALING,01-72219145,NO FAX,Yes,Yes,Yes,09/10/2025
232,7R ENGINEERING SDN. BHD.,G1,JOHOR,JOHOR BAHRU,0125642878,NO FAX,Yes,NO SPKK,NO STP,05/09/2025
233,8 CONSTRUCTION,G1,SARAWAK,Matu,017-8517785,NO FAX,Yes,NO SPKK,NO STP,10/05/2025
234,8 LIMITED ENTERPRISE,G1,PERAK,MANJUNG,01-11944660,NO FAX,Yes,Yes,Yes,27/03/2025
235,8 SENSE PRODUCTION ,G1,PERAK,MANJUNG,01-11081560,NO FAX,Yes,Yes,Yes,24/03/2026
236,8 STARS ELECTRICAL (M) SDN. BHD.,G3,SELANGOR,,03-89597868,NO FAX,Yes,NO SPKK,NO STP,02/03/2026
237,81 NTL SDN. BHD.,G1,JOHOR,KULAIJAYA,01-67856936,NO FAX,Yes,NO SPKK,NO STP,26/09/2025
238,8383 EMPIRE,G2,SABAH,Kota Kinabalu,018-3818383,NO FAX,Yes,NO SPKK,NO STP,17/10/2025
239,8539 GROUP ENTERPRISE,G1,PERLIS,PERLIS,01-94788539,0,Yes,Yes,NO STP,08/02/2024
240,88 POWER SDN. BHD.,G3,JOHOR,,03-80808268,NO FAX,Yes,NO SPKK,NO STP,07/10/2024
241,8IOPOWER  SDN. BHD.,G3,SELANGOR,,60-13530689,NO FAX,Yes,NO SPKK,NO STP,14/08/2024
242,9 PIKOUL HOLDINGS,G2,SARAWAK,MUKAH,019-8878834,082-531524,Yes,Yes,Yes,25/01/2025
243,96 CONSTRUCTION SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,00,-,Yes,NO SPKK,NO STP,21/07/2026
244,99 GROUP M SHANTHI ENTERPRISE,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0,NO FAX,Yes,NO SPKK,NO STP,12/10/2026
245,99 INTERIOR DESIGN,G2,SELANGOR,KLANG,01-73958337,NO FAX,Yes,NO SPKK,NO STP,25/08/2026
246,99 M JAYA ENTERPRISE,G1,SARAWAK,SARIKEI,01158806037,NO FAX,Yes,Yes,NO STP,15/08/2025
247,99 REZKI NIAGA ENTERPRISE,G1,SABAH,Kota Belud,-,-,Yes,NO SPKK,NO STP,02/08/2024
248,9919 GROUP ENTERPRISE,G3,TERENGGANU,BESUT,01-99993919,NO FAX,Yes,NO SPKK,NO STP,16/07/2025
249,995MAJU SDN. BHD.,G7,SARAWAK,KUCHING,08-2367995,08-2361989,Yes,Yes,Yes,20/05/2025
250,999 ENTERPRISE,G1,SABAH,TAWAU,016-4479114,-,Yes,NO SPKK,NO STP,20/11/2023
251,A  & A ENTERPRISE,G1,SABAH,Kudat,013-7285787,NO FAX,Yes,NO SPKK,NO STP,24/02/2025
252,A  AND A  ENTERPRISE,G1,PAHANG,KUANTAN,0139813342,-,Yes,Yes,Yes,30/11/2025
253,A ' DNAN BIN SALLEH,G1,TERENGGANU,MARANG,0199191266,-,Yes,Yes,Yes,25/09/2025
254,A ' FAMOSA GOLF RESORT BHD.,G7,MELAKA,ALOR GAJAH,0129713285,0,Yes,NO SPKK,NO STP,16/08/2025
255,A  PLUS  CONSTRUCTION,G1,SARAWAK,MUKAH,013-5706217,NO FAX,Yes,NO SPKK,NO STP,25/04/2024
256,A ' RIFIN BIN ABU BAKAR,G1,TERENGGANU,KUALA TERENGGANU,096314005,-,Yes,Yes,Yes,28/11/2025
257,A ' TAM ARIFF ENTERPRISE,G5,NEGERI SEMBILAN,,0196576911,066315022,Yes,Yes,Yes,29/10/2025
258,A & A ADVANCED WORLD ENTERPRISE,G3,JOHOR,KOTA TINGGI,0,-,Yes,Yes,Yes,24/12/2024
259,A & A BAKTI ENTERPRISE,G2,JOHOR,JOHOR BAHRU,07-5541013,NO FAX,Yes,NO SPKK,NO STP,19/12/2023
260,A & A BINA ENTERPRISE,G1,KEDAH,KOTA SETAR,01-24320449,NO FAX,Yes,Yes,Yes,25/04/2025
261,A & A COMPANY,G1,SARAWAK,SRI AMAN,010-9333935,0,Yes,NO SPKK,NO STP,14/05/2024
262,A & A CONCEPT DESIGN & CONTRACT SDN. BHD.,G7,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-79806633,03-79806336,Yes,NO SPKK,NO STP,02/10/2025
263,A & A DINAR SDN. BHD.,G7,SELANGOR,Subang Jaya,0380231835,NO FAX,Yes,Yes,Yes,07/08/2024
264,A & A DINASTI RESOURCES,G4,KELANTAN,KOTA BHARU,0137752331,-,Yes,Yes,Yes,27/04/2024
265,A & A ENTERPRISE,G4,SABAH,TAWAU,019-8233008,NO FAX,Yes,NO SPKK,NO STP,10/04/2025
266,A & A ENTERPRISE,G1,SARAWAK,Serian,0198868262,0,Yes,NO SPKK,NO STP,24/01/2025
267,A & A ENTERPRISE,G1,SABAH,SANDAKAN,012-8214562,NO FAX,Yes,NO SPKK,NO STP,05/11/2025
268,A & A ENTERPRISE,G2,SABAH,SANDAKAN,012-8214562,-,Yes,Yes,NO STP,14/02/2025
269,A & A EVERSHINE SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,016-6676725,NO FAX,Yes,NO SPKK,NO STP,10/01/2025
270,A & A FAMILY ENTERPRISE,G1,MELAKA,MELAKA TENGAH,01-76664625,-,Yes,Yes,Yes,19/04/2024
271,A & A GLOBAL DEVELOPMENT SDN. BHD.,G7,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-42975096,03-42978239,Yes,NO SPKK,NO STP,05/01/2024
272,A & A INDAH ENTERPRISE,G3,JOHOR,JOHOR BAHRU,01-27708974,NO FAX,Yes,Yes,Yes,22/04/2024
273,A & A KASIH MAJU ENTERPRISE,G1,NEGERI SEMBILAN,REMBAU,1-120605452,00-00000,Yes,Yes,Yes,12/06/2026
274,A & A PAINTING SDN. BHD.,G3,SELANGOR,KUALA LUMPUR,0390191775,0390191775,Yes,NO SPKK,NO STP,17/06/2024
275,A & A RE DEVELOPMENT SDN. BHD.,G7,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-79806633,03-79806336,Yes,NO SPKK,NO STP,03/10/2025
276,A & A SEPAKAT ENTERPRISE,G3,SELANGOR,PETALING,-,-,Yes,Yes,Yes,15/03/2025
277,A & A WORLD LINK TRAVEL SDN. BHD.,G5,MELAKA,MELAKA TENGAH,-,-,Yes,NO SPKK,NO STP,11/07/2024
278,A & AS MAJU BERKAT LEGACY,G1,KELANTAN,KOTA BHARU,01-99288993,NO FAX,Yes,Yes,Yes,28/05/2024
279,A & B AZILA CERIA ENTERPRISE,G1,PULAU PINANG,SEBERANG PERAI TENGAH,0--,-,Yes,Yes,Yes,25/08/2024
280,A & B BORNEO GROUP SDN. BHD.,G2,SARAWAK,,08-6316806,NO FAX,Yes,NO SPKK,NO STP,18/03/2024
281,A & B KRISTAL TRADING,G1,WILAYAH PERSEKUTUAN LABUAN,LABUAN,01-98082896,NO FAX,Yes,Yes,Yes,21/08/2024
282,A & B MANSANG ENTERPRISE,G1,SARAWAK,SELANGAU,0,NO FAX,Yes,NO SPKK,NO STP,05/10/2026
283,A & B REKA BINA (M) SDN. BHD.,G3,SELANGOR,PETALING,0331916115,0331916115,Yes,Yes,Yes,31/05/2025
284,A & D CINTA QASEH,G2,PERAK,PERAK TENGAH,00-0000000,NO FAX,Yes,Yes,NO STP,06/01/2024
285,A & D ENTERPRISE,G1,SARAWAK,Saratok,11-14116283,-,Yes,Yes,NO STP,12/01/2024
286,A & D GADGET,G2,SABAH,Kota Kinabalu,011-5133922,NO FAX,Yes,NO SPKK,NO STP,11/08/2024
287,A & D GENERATION,G1,SELANGOR,SEPANG,03-,NO FAX,Yes,Yes,Yes,13/12/2025
288,A & D HERITAGE,G1,KELANTAN,BACHOK,01-11311558,NO FAX,Yes,Yes,NO STP,23/12/2023
289,A & E CONSTRUCTION & SERVICES,G1,JOHOR,KULAIJAYA,01-27543834,NO FAX,Yes,Yes,Yes,23/02/2024
290,A & E ENGINEERING SERVICES,G1,SARAWAK,MIRI,013-8459545,013-8459545,Yes,Yes,NO STP,29/11/2025
291,A & E ENTERPRISE,G3,TERENGGANU,MARANG,09-6181443,09-6181443,Yes,NO SPKK,NO STP,24/03/2024
292,A & E GLOBAL WEALTH ENTERPRISE,G2,SELANGOR,KUALA LANGAT,01-25850786,NO FAX,Yes,Yes,Yes,07/08/2026
293,A & E SEJAHTERA ENTERPRISE,G2,TERENGGANU,KUALA TERENGGANU,01-45315434,NO FAX,Yes,Yes,Yes,14/10/2025
294,A & E SUCCESS RESOURCES,G2,NEGERI SEMBILAN,SEREMBAN,01-83504805,NO FAX,Yes,Yes,Yes,21/11/2023
295,A & EZ ENTERPRISE,G1,PAHANG,BERA,01-79329427,NO FAX,Yes,NO SPKK,NO STP,24/03/2026
296,A & F  ENTERPRISE,G1,SABAH,Ranau,019-8081339,NO FAX,Yes,NO SPKK,NO STP,05/04/2026
297,A & F ARMANI ENTERPRISE,G2,JOHOR,MUAR,06-9522999,NO FAX,Yes,NO SPKK,NO STP,24/08/2025
298,A & F CENTRE RESOURCES,G1,JOHOR,MERSING,0137713972,NO FAX,Yes,Yes,Yes,24/05/2025
299,A & F EMPIRE,G1,KEDAH,KUALA MUDA,04-4213028,NO FAX,Yes,Yes,Yes,11/10/2025
300,A & F ENTERPRISE,G1,SARAWAK,MUKAH,01138644444,NO FAX,Yes,NO SPKK,NO STP,19/09/2024
301,A & F ENTERPRISE,G1,SABAH,KOTA MARUDU,014-6546791,NO FAX,Yes,NO SPKK,NO STP,14/03/2024
302,A & F JAYA CONSTRUCTION,G1,KEDAH,LANGKAWI,01114481207,NO FAX,Yes,Yes,Yes,20/12/2023
303,A & F RIZKIN ENTERPRISE,G1,PAHANG,TEMERLOH,01-82587416,NO FAX,Yes,Yes,Yes,08/01/2025
304,A & G DEVELOPMENT SDN. BHD.,G6,JOHOR,JOHOR BAHRU,073329375,073381393,Yes,NO SPKK,NO STP,17/09/2024
305,A & H CEMERLANG ENTERPRISE,G2,KEDAH,LANGKAWI,---,NO FAX,Yes,Yes,Yes,13/07/2026
306,A & H CONTRACTOR,G1,JOHOR,BATU PAHAT,01-96842055,07-4334257,Yes,Yes,Yes,06/09/2026
307,A & H DYNAMIC VENTURES,G2,SELANGOR,Hulu Langat,01-92410499,NO FAX,Yes,NO SPKK,NO STP,06/10/2025
308,A & H EXPERTISE,G1,SARAWAK,SAMARAHAN,014-6996924,NO FAX,Yes,Yes,NO STP,23/08/2025
309,A & H GENERAL TRADING,G1,SARAWAK,MIRI,085614776,085614776,Yes,NO SPKK,NO STP,01/09/2025
310,A & H GROUP MALAYSIA ENTERPRISE,G2,KEDAH,KULIM,0199599702,NO FAX,Yes,Yes,NO STP,23/08/2025
311,A & H JAYA ENTERPRISE,G2,NEGERI SEMBILAN,KUALA PILAH,---,06-4546655,Yes,Yes,Yes,09/02/2024
312,A & H KHALIFAH ENTERPRISE ,G1,KEDAH,LANGKAWI,03-89129329,NO FAX,Yes,Yes,Yes,15/06/2026
313,A & J ENTERPRISE,G1,SABAH,Tuaran,017-8904416,NO FAX,Yes,NO SPKK,NO STP,26/05/2025
314,A & J ENTERPRISE,G1,SARAWAK,Daro,019-8245617,-,Yes,Yes,NO STP,10/12/2025
315,A & J ENTERPRISE,G1,SABAH,KINABATANGAN,01151554393,-,Yes,NO SPKK,NO STP,29/03/2024
316,A & J MAJU JAYA,G2,SABAH,Kota Kinabalu,014-5615954,NO FAX,Yes,Yes,Yes,26/03/2025
317,A & K BINA ENTERPRISE,G1,KEDAH,BALING,044767613,044767613,Yes,Yes,Yes,07/05/2024
318,A & L AGENCY SERVICES,G2,SARAWAK,MIRI,016-8729090,085-417581,Yes,Yes,NO STP,19/11/2024
319,A & L COMPANY,G1,SARAWAK,SIBU,016-8795673,NO FAX,Yes,NO SPKK,NO STP,05/10/2025
320,A & L MARKETING & TRADING,G3,KELANTAN,KOTA BHARU,097436788,097436788,Yes,NO SPKK,NO STP,27/04/2024
321,A & LIN ENTERPRISE,G2,SELANGOR,SEPANG,0,0,Yes,Yes,Yes,24/07/2026
322,A & M  ENTERPRISE,G2,SABAH,TENOM,016-8550976,NO FAX,Yes,NO SPKK,NO STP,25/07/2024
323,A & M BERJAYA ENTERPRISE,G1,JOHOR,MUAR,069523297,069523297,Yes,Yes,Yes,14/10/2025
324,A & M DESIGN SERVICES,G1,KEDAH,KUALA MUDA,01-34845093,NO FAX,Yes,NO SPKK,NO STP,12/10/2025
325,A & M HOLDING,G2,SABAH,Kota Kinabalu,014-8844666,NO FAX,Yes,Yes,NO STP,29/04/2026
326,A & M TRADING,G1,SABAH,KINABATANGAN,010-7928409,NO FAX,Yes,NO SPKK,NO STP,21/08/2024
327,A & N ENTERPRISE,G1,KELANTAN,KUALA KRAI,019-9542566,-,Yes,Yes,Yes,29/05/2024
328,A & Q ENTERPRISE,G1,SARAWAK,LIMBANG,01151207635,NO FAX,Yes,Yes,NO STP,24/09/2024
329,A & Q ENTERPRISE,G1,SABAH,Kota Kinabalu,012-8125124,088-213455,Yes,Yes,NO STP,06/05/2026
330,A & QAL EMPIRE,G1,PAHANG,BERA,013074335,NO FAX,Yes,Yes,Yes,10/04/2026
331,A & R CLASICO ENTERPRISE,G1,PAHANG,KUANTAN,-,NO FAX,Yes,Yes,Yes,14/11/2023
332,A & R DESIGN SDN. BHD.,G3,PULAU PINANG,TIMUR LAUT,042280020,042270023,Yes,NO SPKK,NO STP,19/12/2024
333,A & R DYNAMIC ENTERPRISE,G1,JOHOR,MUAR,074342545,074355045,Yes,Yes,Yes,22/09/2024
334,A & R ENTERPRISE,G1,SARAWAK,Simunjan,014-2448377,NO FAX,Yes,NO SPKK,NO STP,14/11/2024
335,A & R ENTERPRISE,G2,SABAH,Kota Belud,0198429378,088719643,Yes,Yes,Yes,15/02/2026
336,A & R ENTERPRISE 2,G1,SABAH,Kota Belud,01116054046,NO FAX,Yes,NO SPKK,NO STP,11/02/2026
337,A & R MAJU RESOURCES SDN. BHD.,G2,PAHANG,BENTONG,09-,09-,Yes,Yes,Yes,19/05/2025
338,A & R SEPAKAT ENTERPRISE,G1,JOHOR,BATU PAHAT,017038195,NO FAX,Yes,Yes,Yes,03/10/2025
339,A & R SRIKANDI ENTERPRISE,G2,SELANGOR,KUALA SELANGOR,0332694980,-,Yes,Yes,Yes,15/01/2024
340,A & R TEGUH TRADING,G1,SELANGOR,PETALING,01-02001400,NO FAX,Yes,Yes,NO STP,07/06/2025
341,A & R TERAS ENTERPRISE,G1,PAHANG,BENTONG,0176312693,NO FAX,Yes,Yes,Yes,17/07/2026
342,A & R VENTURE,G3,PULAU PINANG,BARAT DAYA,046306638,046306630,Yes,Yes,Yes,14/08/2025
343,A & RK ENTERPRISE,G1,SELANGOR,KUALA LANGAT,0194710211,-,Yes,Yes,Yes,16/07/2025
344,A & S BUILDING TECH SDN. BHD.,G6,SELANGOR,,03-78802710,03-78802712,Yes,NO SPKK,NO STP,22/09/2025
345,A & S ENTERPRISE,G1,SARAWAK,LIMBANG,013-8146694,NO FAX,Yes,NO SPKK,NO STP,25/09/2025
346,A & S ENTERPRISE,G1,SABAH,SANDAKAN,016-9755706,-,Yes,Yes,Yes,09/11/2025
347,A & S JAYA RESOURCES,G3,PERAK,MANJUNG,01-75027737,NO FAX,Yes,Yes,Yes,31/10/2025
348,A & S JAYA SDN. BHD.,G5,PAHANG,TEMERLOH,092961123,092961123,Yes,NO SPKK,NO STP,16/11/2025
349,A & S MERDU ENTERPRISE,G1,PAHANG,RAUB,0,NO FAX,Yes,Yes,Yes,10/10/2024
350,A & S UTARA NIAGA,G1,PERLIS,PERLIS,01-75508958,NO FAX,Yes,Yes,Yes,28/07/2026
351,A & S ZAMRUD ENTERPRISE,G1,PAHANG,PEKAN,01-07653114,NO FAX,Yes,Yes,Yes,31/01/2026
352,A & T CREATIVE HOME SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-91075352,03-91023588,Yes,NO SPKK,NO STP,22/06/2024
353,A & T INDUSTRIES ENTERPRISE,G3,JOHOR,JOHOR BAHRU,01-67739181,NO FAX,Yes,NO SPKK,NO STP,04/01/2025
354,A & T MAJU VENTURES ENTERPRISE,G1,NEGERI SEMBILAN,TAMPIN,01-93667952,NO FAX,Yes,Yes,Yes,16/11/2026
355,A & T NIAGA,G3,JOHOR,JOHOR BAHRU,07-2173479,NO FAX,Yes,Yes,Yes,01/12/2025
356,A & TT  SDN. BHD.,G7,SARAWAK,SIBU,084-313303,084-256913,Yes,NO SPKK,NO STP,20/10/2025
357,A & V ENTERPRISE,G2,SABAH,Ranau,0168812284,-,Yes,NO SPKK,NO STP,12/05/2025
358,A & W MAJU BINA ENTERPRISE,G1,PAHANG,MARAN,01-79553017,NO FAX,Yes,Yes,Yes,29/01/2026
359,A & Y ENTERPRISE,G1,SARAWAK,LIMBANG,019-3278797,085-216770,Yes,Yes,NO STP,13/03/2024
360,A & Y JAYA ENTERPRISE,G1,PAHANG,ROMPIN,01119360265,NO FAX,Yes,Yes,Yes,13/10/2024
361,A & Z BERJAYA ENTERPRISE,G3,SELANGOR,PETALING,01-26943142,NO FAX,Yes,NO SPKK,NO STP,01/06/2024
362,A & Z BINA ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,066013031,066016961,Yes,Yes,Yes,06/08/2025
363,A & Z ENGINEERING RESOURCES,G1,KELANTAN,KOTA BHARU,01-99217716,NO FAX,Yes,Yes,Yes,18/07/2024
364,A & Z NORAZLINA ENTERPRISE,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,016-6676725,NO FAX,Yes,NO SPKK,NO STP,18/12/2024
365,A & Z NURI ENTERPRISE,G1,SELANGOR,HULU SELANGOR,0192090012,-,Yes,Yes,Yes,24/06/2024
366,A & Z TUAH ENTERPRISE,G3,JOHOR,KLUANG,069776200,-,Yes,Yes,Yes,12/01/2026
367,A 2 ILHAM BIRU ENTERPRISE,G1,KEDAH,BANDAR BAHARU,04-5931608,NO FAX,Yes,Yes,Yes,20/03/2024
368,A 2 ME ENTERPRISE,G1,PAHANG,ROMPIN,09-,NO FAX,Yes,Yes,NO STP,06/09/2025
369,A 2 Z MEGA BINA ENTERPRISE,G1,KEDAH,KUALA MUDA,01-08836576,NO FAX,Yes,NO SPKK,NO STP,02/10/2024
370,A A D TRADING,G1,SELANGOR,PETALING,03-77347282,03-77347282,Yes,NO SPKK,NO STP,08/01/2025
371,A A DUA ENTERPRISE,G1,PERAK,BATANG PADANG,054017017,054017017,Yes,Yes,Yes,23/05/2024
372,A A ENTERPRISE,G2,SELANGOR,PETALING,01-22926378,NO FAX,Yes,NO SPKK,NO STP,07/12/2023
373,A A JAYA TRADING,G1,TERENGGANU,KUALA TERENGGANU,096151817,-,Yes,Yes,Yes,14/08/2024
374,A ADEENA ENTERPRISE,G1,SARAWAK,Lawas,0,NO FAX,Yes,NO SPKK,NO STP,26/12/2023
375,A AFIFUDIN LEGACY,G2,KEDAH,KULIM,01161678189,NO FAX,Yes,Yes,NO STP,04/09/2025
376,A AJIEB ENTERPRISE,G2,JOHOR,MUAR,0182997601,-,Yes,Yes,Yes,07/03/2024
377,A AMIN ENTERPRISE,G1,NEGERI SEMBILAN,REMBAU,01-78894900,NO FAX,Yes,Yes,Yes,20/02/2024
378,A AND A GLOBAL SERVICE,G1,JOHOR,MUAR,01-46151763,NO FAX,Yes,Yes,Yes,13/03/2025
379,A and L CONSTRUCTION,G1,SARAWAK,Serian,016-8275325,NO FAX,Yes,NO SPKK,NO STP,28/03/2024
380,A AND R PENGADANG JAYA ENTERPRISE,G1,TERENGGANU,KUALA TERENGGANU,0199855932,-,Yes,Yes,Yes,12/01/2024
381,A AND SMART SOLUTIONS,G2,PERAK,KINTA,01-75905768,01-75905768,Yes,Yes,NO STP,02/08/2025
382,A' AR - REZEQI TRADING,G1,SABAH,Kota Belud,016-8434114,NO FAX,Yes,Yes,Yes,16/11/2024
383,A AVENUE SDN. BHD.,G3,SELANGOR,PETALING,0380684986,NO FAX,Yes,NO SPKK,NO STP,02/06/2026
384,A AZMANI ENTERPRISE,G1,TERENGGANU,BESUT,09-6091880,NO FAX,Yes,Yes,Yes,01/12/2023
385,A B HIDAYAT SERVICES TRADING,G1,PULAU PINANG,BARAT DAYA,01155577949,NO FAX,Yes,Yes,Yes,22/03/2024
386,A BAKAR JAYA ENTERPRISE,G1,TERENGGANU,KEMAMAN,01-99257001,0,Yes,Yes,Yes,26/10/2024
387,A BUILDERS CONSTRUCTION,G3,PULAU PINANG,TIMUR LAUT,046587196,046442661,Yes,NO SPKK,NO STP,28/07/2024
388,A BUILDERS PROJECT MANAGEMENT SDN. BHD.,G4,PULAU PINANG,TIMUR LAUT,0,NO FAX,Yes,NO SPKK,NO STP,07/08/2026
389,A BUILDING MANAGEMENT & CONSTRUCTION,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,,0328560444,0328589644,Yes,Yes,Yes,02/12/2023
390,A C U TRADING,G2,NEGERI SEMBILAN,SEREMBAN,06-7644444,NO FAX,Yes,Yes,Yes,03/01/2026
391,A CHONG LEE CONSTRUCTION,G2,PERAK,KINTA,-,-,Yes,NO SPKK,NO STP,22/08/2024
392,A CLASS NEON SIGN SDN. BHD.,G5,NEGERI SEMBILAN,SEREMBAN,067971451,067971450,Yes,NO SPKK,NO STP,25/09/2025
393,A D A HARAPAN ENTERPRISE,G2,TERENGGANU,MARANG,01-39628226,-,Yes,Yes,Yes,04/03/2024
394,A D A SEMARAK ENTERPRISE,G2,PERAK,"LARUT, MATANG DAN SELAMA",0175190062,-,Yes,Yes,Yes,09/07/2024
395,A D C ENGINEERING SERVICES SDN. BHD.,G5,SELANGOR,PETALING,0351247818,0351247819,Yes,NO SPKK,NO STP,20/04/2026
396,A D PESONA ENTERPRISE,G1,NEGERI SEMBILAN,JEMPOL,064549588,064549588,Yes,Yes,Yes,26/08/2024
397,A D Y MASS ENTERPRISE,G2,SELANGOR,PETALING,0166667442,-,Yes,Yes,Yes,27/06/2025
398,A DOUBLE PLUS ENTERPRISE,G2,PAHANG,PEKAN,0148163183,-,Yes,Yes,Yes,30/04/2025
399,A E I GENERATION ENTERPRISE,G2,SELANGOR,KUALA SELANGOR,-,-,Yes,Yes,Yes,31/10/2024
400,A ELEVATION SDN. BHD.,G2,KELANTAN,KOTA BHARU,01-72220677,NO FAX,Yes,Yes,Yes,26/07/2024
401,A EN ENTERPRISE,G1,JOHOR,JOHOR BAHRU,01-27297173,NO FAX,Yes,Yes,Yes,23/12/2023
402,A ENERGY ENTERPRISE,G1,KELANTAN,JELI,01-02961237,NO FAX,Yes,Yes,Yes,25/02/2024
403,A F. LEGASI CONSTRUCTION,G1,JOHOR,BATU PAHAT,0,NO FAX,Yes,Yes,Yes,12/07/2026
404,A FAMILY ENTERPRISE,G1,WILAYAH PERSEKUTUAN LABUAN,LABUAN,01-46569396,0,Yes,Yes,Yes,27/04/2024
405,A FIESHA ENTERPRISE,G2,PERAK,KINTA,05-3122020,05-3122299,Yes,Yes,Yes,01/10/2025
406,A FIKRI ENTERPRISE,G1,KELANTAN,KOTA BHARU,0139091603,NO FAX,Yes,Yes,Yes,19/10/2025
407,A FIVE ENGINEERING  SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,,01157527496,NO FAX,Yes,NO SPKK,NO STP,28/09/2025
408,A FOURTY TWO ENTERPRISE,G1,TERENGGANU,BESUT,09-6902752,09-6902752,Yes,Yes,Yes,02/11/2025
409,A GENERATION,G2,SABAH,Kota Kinabalu,016-8205972,NO FAX,Yes,NO SPKK,NO STP,19/05/2024
410,A GHANI ENTERPRISE,G1,PAHANG,JERANTUT,092661263,092661263,Yes,Yes,Yes,22/02/2025
411,A GLASS SDN. BHD.,G5,SELANGOR,KLANG,0351671398,03-51671193,Yes,NO SPKK,NO STP,15/09/2024
412,A GLOBAL,G1,SABAH,Kota Kinabalu,088-214232,NO FAX,Yes,NO SPKK,NO STP,09/05/2026
